epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0859,1.52897,3.94285,1.26316,0.00224,0.11389,0.03731,0.01507,1.49274,4.22596,1.23177,0.0991,0.0001,0.0001
2,38.0411,1.47075,3.93741,1.21793,0.00271,0.12222,0.0279,0.01302,1.68416,4.15119,1.32775,0.0972985,0.000298515,0.000298515
3,46.7949,1.63629,3.63914,1.24127,0.00118,0.12222,0.03238,0.02005,1.47936,4.10848,1.2944,0.095495,0.00049505,0.00049505
4,54.9759,1.35891,3.11155,1.15691,0.00013,0.01508,0.00112,0.00022,1.73252,4.36602,1.70949,0.0936896,0.000689605,0.000689605
5,64.9726,1.27093,2.5908,1.13093,0.00013,0.01508,0.00112,0.00022,2.11429,4.3274,1.90874,0.0918822,0.00088218,0.00088218
6,72.651,1.22992,2.10485,1.09812,0.00013,0.01508,0.00112,0.00022,2.22745,4.24157,1.93801,0.0900728,0.00107277,0.00107277
7,79.4194,1.06781,1.76227,1.03843,0.00013,0.01508,0.00112,0.00022,2.08031,4.27222,1.76936,0.0882614,0.00126139,0.00126139
8,86.5217,1.05047,1.65163,1.03976,0.00013,0.01508,0.00112,0.00022,1.96475,4.31467,1.78407,0.086448,0.00144802,0.00144802
9,93.7677,1.00468,1.5205,1.01591,0.00013,0.01508,0.00112,0.00022,1.77824,4.4245,1.7424,0.0846327,0.00163268,0.00163268
10,100.144,0.93582,1.28926,0.99889,0.00013,0.01508,0.00112,0.00022,2.341,4.5123,2.14222,0.0828154,0.00181535,0.00181535
11,107.066,0.9618,1.1558,1.00916,0.00013,0.01508,0.00112,0.00022,1.49972,4.37747,1.55781,0.080996,0.00199605,0.00199605
12,114.667,1.04488,1.12827,0.99402,4e-05,0.00556,7e-05,2e-05,1.75553,4.43574,1.70652,0.0791748,0.00217476,0.00217476
13,121.91,0.93585,0.94443,0.9597,4e-05,0.00556,7e-05,2e-05,1.80935,4.46685,1.79916,0.0773515,0.0023515,0.0023515
14,129.081,0.94795,0.92442,0.97301,4e-05,0.00556,7e-05,2e-05,2.26487,4.81834,2.45148,0.0755263,0.00252626,0.00252626
15,136.724,0.93227,0.87742,0.98636,4e-05,0.00556,7e-05,2e-05,2.73829,10.5547,3.89699,0.073699,0.00269903,0.00269903
